Rank,Score,Templates,TotalNodes,PackedNodes,PackRate,NumGroups,AvgUtilization
1021,449.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,207,55.68
1022,449.54,"PMU_2META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,208,55.75
1023,449.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,217,56.65
1024,449.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,217,56.65
1025,449.22,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,200,54.92
1026,449.22,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,200,54.92
1027,449.12,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,55.81
1028,449.12,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,209,55.81
1029,448.16,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,208,55.62
1030,448.16,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,208,55.62
1031,448.02,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,217,56.50
1032,447.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,55.69
1033,447.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,55.69
1034,446.96,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,225,57.20
